Product_Name,Pricing,Rating
Samsung Galaxy J6 Plus (Black| 64 GB),Rs.13999,4.34,846
Samsung Galaxy On8 (Blue| 64 GB),Rs.19990Upto ,4.478,233
Samsung Galaxy A6 (Black| 64 GB),Rs.16990,4.4647
Samsung Galaxy A6+ (Black| 64 GB),Rs.21990,4.44,149
Samsung Galaxy A6+ (Blue| 64 GB),Rs.25600Upto ,4.44,149
Samsung Galaxy A6+ (Gold| 64 GB),Rs.21990,4.44,149
Samsung Galaxy A6 (Blue| 64 GB),Rs.16990,4.4647
Samsung Galaxy A6 (Gold| 64 GB),Rs.25500Upto ,4.4647
Samsung Galaxy A6 (Gold| 32 GB),Rs.19999,4.4647
Samsung Galaxy J8 (Blue| 64 GB),Rs.15499,4.419,040
Samsung Galaxy J8 (Black| 64 GB),Rs.15499,4.419,040
Samsung Galaxy J8 (Gold| 64 GB),Rs.15499,4.419,040
Samsung Galaxy On6 (Blue| 64 GB),Rs.17600Upto ,4.399,932
Samsung Galaxy J4 (Black| 32 GB),Rs.9399,4.2324
Samsung Galaxy J4 (Gold| 32 GB),Rs.9899,4.2324
Samsung Galaxy J4 (Blue| 32 GB),Rs.9999,4.2324
Samsung Galaxy J4 (Gold| 16 GB),Rs.8490,4.32,998
Samsung Galaxy J4 (Blue| 16 GB),Rs.8799,4.32,998
Samsung Galaxy J4 (Black| 16 GB),Rs.8799,4.32,998
Samsung Galaxy J7 Duo (Blue| 32 GB),Rs.15990,4.32,739
Samsung Galaxy J6 (Gold| 64 GB),Rs.13999,4.540,419
Samsung Galaxy J6 (Blue| 64 GB),Rs.9490,4.540,419
Samsung Galaxy J6 (Black| 64 GB),Rs.14990,4.540,419
Samsung Galaxy J6 (Blue| 32 GB),Rs.10499,4.415,495
Samsung Galaxy J6 (Gold| 32 GB),Rs.10499,4.415,495
Samsung Galaxy Note 8 (Midnight Black| 64 GB),Rs.59900,4.65,473
Samsung Galaxy J7 Nxt (Black| 32 GB),Rs.14995,4.32,155
Samsung Galaxy J7 Nxt (Gold| 32 GB),Rs.12000,4.32,155
Samsung Galaxy J2-2017 (Metallic gold| 8 GB),Rs.6000,4.23,903
Samsung Galaxy J2-2017 (Absolute black| 8 GB),Rs.6000,4.23,903
Samsung Galaxy C7 Pro (Navy Blue| 64 GB),Rs.26600Upto ,4.41,823
Samsung Galaxy J7 Pro (Black| 64 GB),Rs.20995,4.49,459
Samsung Galaxy J7 Pro (Gold| 64 GB),Rs.16900,4.49,459
Samsung Galaxy J7 Nxt (Black| 16 GB),Rs.11756,4.49,703
Samsung Galaxy J7 Nxt (Gold| 16 GB),Rs.10990Upto ,4.49,703
Samsung Galaxy S8 Plus (Orchid Grey| 64 GB),Rs.53990Upto ,4.61,992
Samsung J7 Max (Gold| 32 GB),Rs.11046,4.317,180
Samsung J7 Max (Black| 32 GB),Rs.19995,4.317,180
Samsung Galaxy S8 Plus (Midnight Black| 128 GB),Rs.65990,4.6348
Samsung Metro 313 Dual Sim,Rs.2025,4.28,566
Samsung Galaxy J5 Prime (Black| 32 GB),Rs.13500,4.33,275
Samsung Galaxy J5 Prime (Gold| 32 GB),Rs.13500,4.33,275
Samsung Metro 313 Dual Sim,Rs.2120,4.214,921
Samsung Galaxy S8 Plus (Maple Gold| 64 GB),Rs.53990Upto ,4.61,992
Samsung Galaxy S8 Plus (Midnight Black| 64 GB),Rs.53990Upto ,4.61,992
Samsung Galaxy S8 Plus (Coral Blue| 64 GB),Rs.53990Upto ,4.61,992
Samsung Galaxy J7 Prime (Gold| 32 GB),Rs.15995,4.219,302
Samsung Galaxy J2 Pro (Black| 16 GB),Rs.10480,4.26,831
Samsung Galaxy J2 Pro (Gold| 16 GB),Rs.10480,4.26,831
Samsung Metro 350,Rs.3200,3.840
Samsung Metro 350,Rs.3007,4.13,120
Samsung Guru FM Plus SM-B110E/D,Rs.1500,4.345,063
Samsung Metro 313,Rs.2196,4.11,451
Samsung Guru Music 2 SM-B310E,Rs.1879,4.13,922
Samsung Metro 313,Rs.2315,4.11,451
Samsung Guru Music 2,Rs.1760,4.31,33,180
Samsung Guru FM Plus,Rs.1547,4.215,760
Samsung Guru Music 2,Rs.1600,4.31,33,180
Samsung Guru FM Plus,Rs.1450,4.215,760
Samsung Guru Plus B110,Rs.1700,4.1346
Samsung Guru FM Plus SM-B110E/D,Rs.1500,4.345,063
Samsung Metro 313,Rs.2050,4.11,451
Samsung Metro 313,Rs.2282,4.11,451
Samsung Galaxy S6 Edge (Black Sapphire| 32 GB),Rs.37299,41,198
Samsung Galaxy Core Prime (White| 8 GB),Rs.7990,4.16,732
Samsung Guru Music 2,Rs.1625,4.31,33,180
Samsung Galaxy Grand 2 (Gold| 8 GB),Rs.18899,4.14,552
Samsung Galaxy S3 Neo (Marble White| 16 GB),Rs.22140,4.213,089
Samsung Galaxy Grand Neo (Midnight Black| 8 GB),Rs.15980,3.8990
Samsung Guru 1200,Rs.1341,4.31,20,541
Samsung Guru 1200,Rs.1347,4.31,20,541
Samsung Guru 1200,Rs.1100,4.31,20,541
Samsung Galaxy S9 Plus (Lilac Purple| 64 GB),Rs.29999,4.526,211
Samsung Galaxy Note 10 Plus (Aura Glow| 512 GB),Rs.89999,4.6638
Samsung Galaxy Note 10 (Aura Red| 256 GB),Rs.69999,4.5232
Samsung Galaxy Note 10 Plus (Aura Black| 512 GB),Rs.89999,4.6638
